id,name,neighborhood,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,business_id,name,value
--cZ6Hhc9F7VkKXxHMVZSQ,Pio Pio,Dilworth,1408 E Blvd,Charlotte,NC,28203,35.1999,-80.8448,4,299,1,--cZ6Hhc9F7VkKXxHMVZSQ,Alcohol,beer_and_wine
--cZ6Hhc9F7VkKXxHMVZSQ,Pio Pio,Dilworth,1408 E Blvd,Charlotte,NC,28203,35.1999,-80.8448,4,299,1,--cZ6Hhc9F7VkKXxHMVZSQ,Ambience,"{""romantic"": false, ""intimate"": false, ""classy"": false, ""hipster"": false, ""divey"": false, ""touristy"": false, ""trendy"": false, ""upscale"": false, ""casual"": true}"
--cZ6Hhc9F7VkKXxHMVZSQ,Pio Pio,Dilworth,1408 E Blvd,Charlotte,NC,28203,35.1999,-80.8448,4,299,1,--cZ6Hhc9F7VkKXxHMVZSQ,BikeParking,1
--cZ6Hhc9F7VkKXxHMVZSQ,Pio Pio,Dilworth,1408 E Blvd,Charlotte,NC,28203,35.1999,-80.8448,4,299,1,--cZ6Hhc9F7VkKXxHMVZSQ,BusinessAcceptsCreditCards,1
--cZ6Hhc9F7VkKXxHMVZSQ,Pio Pio,Dilworth,1408 E Blvd,Charlotte,NC,28203,35.1999,-80.8448,4,299,1,--cZ6Hhc9F7VkKXxHMVZSQ,BusinessParking,"{""garage"": false, ""street"": false, ""validated"": false, ""lot"": true, ""valet"": false}"
--cZ6Hhc9F7VkKXxHMVZSQ,Pio Pio,Dilworth,1408 E Blvd,Charlotte,NC,28203,35.1999,-80.8448,4,299,1,--cZ6Hhc9F7VkKXxHMVZSQ,Caters,1
--cZ6Hhc9F7VkKXxHMVZSQ,Pio Pio,Dilworth,1408 E Blvd,Charlotte,NC,28203,35.1999,-80.8448,4,299,1,--cZ6Hhc9F7VkKXxHMVZSQ,GoodForKids,1
--cZ6Hhc9F7VkKXxHMVZSQ,Pio Pio,Dilworth,1408 E Blvd,Charlotte,NC,28203,35.1999,-80.8448,4,299,1,--cZ6Hhc9F7VkKXxHMVZSQ,GoodForMeal,"{""dessert"": false, ""latenight"": false, ""lunch"": true, ""dinner"": true, ""breakfast"": false, ""brunch"": false}"
--cZ6Hhc9F7VkKXxHMVZSQ,Pio Pio,Dilworth,1408 E Blvd,Charlotte,NC,28203,35.1999,-80.8448,4,299,1,--cZ6Hhc9F7VkKXxHMVZSQ,HasTV,1
--cZ6Hhc9F7VkKXxHMVZSQ,Pio Pio,Dilworth,1408 E Blvd,Charlotte,NC,28203,35.1999,-80.8448,4,299,1,--cZ6Hhc9F7VkKXxHMVZSQ,NoiseLevel,average
--cZ6Hhc9F7VkKXxHMVZSQ,Pio Pio,Dilworth,1408 E Blvd,Charlotte,NC,28203,35.1999,-80.8448,4,299,1,--cZ6Hhc9F7VkKXxHMVZSQ,OutdoorSeating,1
--cZ6Hhc9F7VkKXxHMVZSQ,Pio Pio,Dilworth,1408 E Blvd,Charlotte,NC,28203,35.1999,-80.8448,4,299,1,--cZ6Hhc9F7VkKXxHMVZSQ,RestaurantsAttire,casual
--cZ6Hhc9F7VkKXxHMVZSQ,Pio Pio,Dilworth,1408 E Blvd,Charlotte,NC,28203,35.1999,-80.8448,4,299,1,--cZ6Hhc9F7VkKXxHMVZSQ,RestaurantsDelivery,1
--cZ6Hhc9F7VkKXxHMVZSQ,Pio Pio,Dilworth,1408 E Blvd,Charlotte,NC,28203,35.1999,-80.8448,4,299,1,--cZ6Hhc9F7VkKXxHMVZSQ,RestaurantsGoodForGroups,1
--cZ6Hhc9F7VkKXxHMVZSQ,Pio Pio,Dilworth,1408 E Blvd,Charlotte,NC,28203,35.1999,-80.8448,4,299,1,--cZ6Hhc9F7VkKXxHMVZSQ,RestaurantsPriceRange2,2
--cZ6Hhc9F7VkKXxHMVZSQ,Pio Pio,Dilworth,1408 E Blvd,Charlotte,NC,28203,35.1999,-80.8448,4,299,1,--cZ6Hhc9F7VkKXxHMVZSQ,RestaurantsReservations,1
--cZ6Hhc9F7VkKXxHMVZSQ,Pio Pio,Dilworth,1408 E Blvd,Charlotte,NC,28203,35.1999,-80.8448,4,299,1,--cZ6Hhc9F7VkKXxHMVZSQ,RestaurantsTableService,1
--cZ6Hhc9F7VkKXxHMVZSQ,Pio Pio,Dilworth,1408 E Blvd,Charlotte,NC,28203,35.1999,-80.8448,4,299,1,--cZ6Hhc9F7VkKXxHMVZSQ,RestaurantsTakeOut,1
--cZ6Hhc9F7VkKXxHMVZSQ,Pio Pio,Dilworth,1408 E Blvd,Charlotte,NC,28203,35.1999,-80.8448,4,299,1,--cZ6Hhc9F7VkKXxHMVZSQ,WheelchairAccessible,1
--cZ6Hhc9F7VkKXxHMVZSQ,Pio Pio,Dilworth,1408 E Blvd,Charlotte,NC,28203,35.1999,-80.8448,4,299,1,--cZ6Hhc9F7VkKXxHMVZSQ,WiFi,no
--EX4rRznJrltyn-34Jz1w,Bath & Body Works,,"6801 Northlake Mall Dr, Ste 172",Charlotte,NC,28216,35.3521,-80.8512,4,3,1,--EX4rRznJrltyn-34Jz1w,BusinessAcceptsCreditCards,1
--EX4rRznJrltyn-34Jz1w,Bath & Body Works,,"6801 Northlake Mall Dr, Ste 172",Charlotte,NC,28216,35.3521,-80.8512,4,3,1,--EX4rRznJrltyn-34Jz1w,BusinessParking,"{""garage"": false, ""street"": false, ""validated"": false, ""lot"": false, ""valet"": false}"
--EX4rRznJrltyn-34Jz1w,Bath & Body Works,,"6801 Northlake Mall Dr, Ste 172",Charlotte,NC,28216,35.3521,-80.8512,4,3,1,--EX4rRznJrltyn-34Jz1w,ByAppointmentOnly,0
--j-kaNMCo1-DYzddCsA5Q,Q's Nails,Eastland,"3039 S Blvd, Ste C",Charlotte,NC,28209,35.2739,-80.7293,3.5,3,1,--j-kaNMCo1-DYzddCsA5Q,BusinessAcceptsCreditCards,1
