id,name,neighborhood,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,business_id,category
--cZ6Hhc9F7VkKXxHMVZSQ,Pio Pio,Dilworth,1408 E Blvd,Charlotte,NC,28203,35.1999,-80.8448,4,299,1,--cZ6Hhc9F7VkKXxHMVZSQ,Latin American
--cZ6Hhc9F7VkKXxHMVZSQ,Pio Pio,Dilworth,1408 E Blvd,Charlotte,NC,28203,35.1999,-80.8448,4,299,1,--cZ6Hhc9F7VkKXxHMVZSQ,Peruvian
--cZ6Hhc9F7VkKXxHMVZSQ,Pio Pio,Dilworth,1408 E Blvd,Charlotte,NC,28203,35.1999,-80.8448,4,299,1,--cZ6Hhc9F7VkKXxHMVZSQ,Restaurants
--cZ6Hhc9F7VkKXxHMVZSQ,Pio Pio,Dilworth,1408 E Blvd,Charlotte,NC,28203,35.1999,-80.8448,4,299,1,--cZ6Hhc9F7VkKXxHMVZSQ,Spanish
--EX4rRznJrltyn-34Jz1w,Bath & Body Works,,"6801 Northlake Mall Dr, Ste 172",Charlotte,NC,28216,35.3521,-80.8512,4,3,1,--EX4rRznJrltyn-34Jz1w,Beauty & Spas
--EX4rRznJrltyn-34Jz1w,Bath & Body Works,,"6801 Northlake Mall Dr, Ste 172",Charlotte,NC,28216,35.3521,-80.8512,4,3,1,--EX4rRznJrltyn-34Jz1w,Cosmetics & Beauty Supply
--EX4rRznJrltyn-34Jz1w,Bath & Body Works,,"6801 Northlake Mall Dr, Ste 172",Charlotte,NC,28216,35.3521,-80.8512,4,3,1,--EX4rRznJrltyn-34Jz1w,Shopping
--j-kaNMCo1-DYzddCsA5Q,Q's Nails,Eastland,"3039 S Blvd, Ste C",Charlotte,NC,28209,35.2739,-80.7293,3.5,3,1,--j-kaNMCo1-DYzddCsA5Q,Beauty & Spas
--j-kaNMCo1-DYzddCsA5Q,Q's Nails,Eastland,"3039 S Blvd, Ste C",Charlotte,NC,28209,35.2739,-80.7293,3.5,3,1,--j-kaNMCo1-DYzddCsA5Q,Day Spas
--j-kaNMCo1-DYzddCsA5Q,Q's Nails,Eastland,"3039 S Blvd, Ste C",Charlotte,NC,28209,35.2739,-80.7293,3.5,3,1,--j-kaNMCo1-DYzddCsA5Q,Hair Removal
--j-kaNMCo1-DYzddCsA5Q,Q's Nails,Eastland,"3039 S Blvd, Ste C",Charlotte,NC,28209,35.2739,-80.7293,3.5,3,1,--j-kaNMCo1-DYzddCsA5Q,Nail Salons
--j-kaNMCo1-DYzddCsA5Q,Q's Nails,Eastland,"3039 S Blvd, Ste C",Charlotte,NC,28209,35.2739,-80.7293,3.5,3,1,--j-kaNMCo1-DYzddCsA5Q,Nail Technicians
--j-kaNMCo1-DYzddCsA5Q,Q's Nails,Eastland,"3039 S Blvd, Ste C",Charlotte,NC,28209,35.2739,-80.7293,3.5,3,1,--j-kaNMCo1-DYzddCsA5Q,Waxing
--KCl2FvVQpvjzmZSPyviA,Hungry Howie's Pizza,,"6426 W Sugar Creek Rd, Unit A",Charlotte,NC,28269,35.3335,-80.7962,3,12,1,--KCl2FvVQpvjzmZSPyviA,Pizza
--KCl2FvVQpvjzmZSPyviA,Hungry Howie's Pizza,,"6426 W Sugar Creek Rd, Unit A",Charlotte,NC,28269,35.3335,-80.7962,3,12,1,--KCl2FvVQpvjzmZSPyviA,Restaurants
--KCl2FvVQpvjzmZSPyviA,Hungry Howie's Pizza,,"6426 W Sugar Creek Rd, Unit A",Charlotte,NC,28269,35.3335,-80.7962,3,12,1,--KCl2FvVQpvjzmZSPyviA,Sandwiches
